CRATER_ID,reviewed,agrees,corrected_area,corrected_degree,flag_bad_match,note
02-1-004775,True,True,,,False,
02-1-013542,True,False,highland,r-dr,False,
02-1-020934,True,True,,,False,
02-1-037395,True,False,highland,r-dr,False,
02-1-041474,True,False,highland,v-fr,True,
02-1-054643,True,True,,,False,
02-1-123677,True,True,,,False,
02-1-171121,True,False,highland,r-fr,False,
02-1-174660,True,False,highland,r-fr,False,
02-1-176029,True,False,highland,r-fr,False,
02-2-000286,True,False,highland,v-fr,True,
02-3-000255,True,False,highland,r-fr,False,
03-1-006754,True,True,,,False,
03-1-072618,True,False,highland,r-fr,False,
03-1-085580,True,False,highland,r-fr,False,
03-1-100594,True,True,,,False,
03-1-122545,True,False,highland,r-fr,False,
04-1-005863,True,True,,,False,
04-1-015449,True,False,mare,r-fr,False,
04-1-023557,True,False,mare,r-fr,False,
04-1-024240,True,True,,,False,
04-1-024475,True,False,highland,v-fr,True,
04-1-025115,True,False,mare,v-fr,True,
04-1-025497,True,False,mare,r-fr,False,
04-1-028466,True,False,mare,r-fr,False,
04-1-029631,True,False,mare,r-fr,False,
04-1-034056,True,True,,,False,
04-1-040478,True,True,,,False,
04-1-047896,True,True,,,False,
04-1-047987,True,True,,,False,
04-1-049194,True,True,,,False,
04-1-050401,True,False,mare,r-fr,False,
04-1-058781,True,False,mare,r-fr,False,
04-1-061012,True,False,mare,v-fr,True,
04-1-061092,True,True,,,False,
04-1-062582,True,False,mare,v-fr,True,
04-1-064290,True,False,mare,v-fr,True,
04-1-066543,True,True,,,False,
04-1-066922,True,False,mare,r-fr,False,
04-1-067837,True,False,mare,r-fr,False,
04-1-069391,True,True,,,False,
04-1-070392,True,True,mare,r-fr,False,
04-1-070397,True,True,,,False,
04-1-071034,True,False,mare,r-fr,True,
04-1-072134,True,False,mare,r-fr,False,
04-1-073038,True,False,mare,r-fr,False,
04-1-075069,True,False,mare,v-fr,True,
04-1-075736,True,True,,,False,
04-1-075813,True,False,mare,r-dr,False,
04-1-076870,True,True,,,False,
04-1-076980,True,False,mare,r-fr,False,
04-1-077091,True,False,mare,v-fr,True,
04-1-079514,True,False,mare,r-fr,False,
04-1-079523,True,False,mare,r-fr,False,
04-1-079697,True,True,,,False,
04-1-080232,True,False,mare,r-dr,False,
04-1-080298,True,True,,,False,
04-1-080437,True,True,,,False,
04-1-080460,True,True,,,False,
04-1-080495,True,True,,,False,
04-1-082559,True,False,mare,r-fr,False,
04-1-083308,True,True,,,False,
04-1-083722,True,False,mare,r-dr,True,
04-1-083792,True,False,mare,r-fr,False,
04-1-084307,True,False,mare,r-fr,False,
04-1-086106,True,False,mare,r-fr,False,
04-1-089053,True,True,,,False,
04-1-091060,True,False,mare,v-fr,True,
04-1-096297,True,False,mare,v-fr,True,
04-2-000460,True,False,mare,r-fr,False,
04-2-001570,True,True,,,False,
04-2-006824,True,False,highland,v-fr,True,
05-1-003088,True,False,mare,r-fr,False,
05-1-003106,True,True,,,False,
05-1-011232,True,False,mare,r-fr,False,
05-1-016159,True,False,mare,r-fr,False,
05-1-016452,True,True,,,False,
